Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.3898 |  0.2609 |     2.8329 |   3.4623
    5 |    0.2192 |  0.3010 |     2.2539 |   2.7386
   10 |    0.3283 |  0.3980 |     2.1003 |   2.5737
   15 |    0.5116 |  0.6522 |     1.6326 |   1.9838
   20 |    0.5499 |  0.6689 |     1.4685 |   1.7533
   25 |    0.4732 |  0.3946 |     1.9164 |   2.6290
   30 |    0.4598 |  0.5351 |     1.4548 |   1.9339
   35 |    0.3648 |  0.4649 |     1.5426 |   1.9651
   40 |    0.4446 |  0.5753 |     1.9140 |   2.3388
   45 |    0.5566 |  0.7023 |     1.3292 |   2.0208
   50 |    0.6931 |  0.6656 |     1.1324 |   1.6863
   55 |    0.5469 |  0.6722 |     1.1999 |   1.8361
   60 |    0.6742 |  0.6455 |     1.2444 |   1.9464
   65 |    0.6778 |  0.6288 |     1.2103 |   1.9468
   70 |    0.5158 |  0.6288 |     1.2692 |   1.9400
   75 |    0.6717 |  0.6288 |     1.2262 |   2.0227
   80 |    0.5993 |  0.7191 |     1.0581 |   1.7467
   85 |    0.7071 |  0.6823 |     1.0910 |   1.8373
   90 |    0.6242 |  0.6488 |     1.1548 |   1.9272
   95 |    0.6206 |  0.6689 |     1.0981 |   1.8454
  100 |    0.5932 |  0.6823 |     1.1245 |   1.8645
  105 |    0.6157 |  0.6589 |     1.1294 |   1.8636
  110 |    0.6949 |  0.6957 |     1.0566 |   1.8066
  115 |    0.6139 |  0.6522 |     1.1372 |   1.8935
  120 |    0.6486 |  0.6689 |     1.1040 |   1.8664
  125 |    0.6425 |  0.6488 |     1.1292 |   1.8967
  130 |    0.6194 |  0.6388 |     1.2189 |   2.0039
  135 |    0.6760 |  0.6990 |     1.0379 |   1.7682
  140 |    0.6456 |  0.6990 |     1.0605 |   1.8019
  145 |    0.6675 |  0.6957 |     1.0428 |   1.7732
  150 |    0.6346 |  0.6756 |     1.1084 |   1.8710
