Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.7608 |  0.7899 |     0.1467 |   0.1455
    5 |    0.7663 |  0.7440 |     0.1162 |   0.1112
   10 |    0.9283 |  0.9387 |     0.0578 |   0.0549
   15 |    0.9157 |  0.9300 |     0.0643 |   0.0619
   20 |    0.8451 |  0.8446 |     0.0857 |   0.0856
   25 |    0.9409 |  0.9322 |     0.0502 |   0.0502
   30 |    0.8664 |  0.8643 |     0.0733 |   0.0766
   35 |    0.9157 |  0.9168 |     0.0515 |   0.0536
   40 |    0.9573 |  0.9519 |     0.0348 |   0.0371
   45 |    0.9546 |  0.9519 |     0.0341 |   0.0366
   50 |    0.9414 |  0.9234 |     0.0385 |   0.0423
   55 |    0.9524 |  0.9387 |     0.0321 |   0.0405
   60 |    0.8555 |  0.8381 |     0.0770 |   0.0900
   65 |    0.9644 |  0.9475 |     0.0282 |   0.0376
   70 |    0.9666 |  0.9519 |     0.0260 |   0.0375
   75 |    0.9672 |  0.9409 |     0.0268 |   0.0395
   80 |    0.9551 |  0.9234 |     0.0312 |   0.0456
   85 |    0.9540 |  0.9147 |     0.0309 |   0.0471
   90 |    0.9644 |  0.9256 |     0.0242 |   0.0426
   95 |    0.9715 |  0.9344 |     0.0228 |   0.0398
  100 |    0.9579 |  0.9190 |     0.0275 |   0.0452
  105 |    0.9737 |  0.9387 |     0.0222 |   0.0398
  110 |    0.9655 |  0.9234 |     0.0241 |   0.0422
  115 |    0.9650 |  0.9212 |     0.0239 |   0.0421
  120 |    0.9622 |  0.9212 |     0.0251 |   0.0437
  125 |    0.9628 |  0.9212 |     0.0249 |   0.0432
  130 |    0.9628 |  0.9212 |     0.0245 |   0.0433
  135 |    0.9666 |  0.9256 |     0.0233 |   0.0415
  140 |    0.9661 |  0.9234 |     0.0235 |   0.0418
  145 |    0.9562 |  0.9125 |     0.0269 |   0.0470
  150 |    0.9622 |  0.9212 |     0.0242 |   0.0434
  155 |    0.9710 |  0.9300 |     0.0222 |   0.0408
  160 |    0.9661 |  0.9212 |     0.0233 |   0.0429
  165 |    0.9655 |  0.9212 |     0.0238 |   0.0427
  170 |    0.9704 |  0.9278 |     0.0224 |   0.0413
  175 |    0.9622 |  0.9212 |     0.0244 |   0.0439
  180 |    0.9650 |  0.9212 |     0.0236 |   0.0429
  185 |    0.9633 |  0.9212 |     0.0239 |   0.0433
  190 |    0.9661 |  0.9234 |     0.0234 |   0.0423
  195 |    0.9606 |  0.9190 |     0.0245 |   0.0441
  200 |    0.9606 |  0.9190 |     0.0248 |   0.0446
