Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.7554 |  0.7391 |     0.1426 |   0.1450
    5 |    0.7246 |  0.7367 |     0.1256 |   0.1236
   10 |    0.5634 |  0.5749 |     0.1503 |   0.1514
   15 |    0.6081 |  0.5870 |     0.1636 |   0.1683
   20 |    0.7802 |  0.7899 |     0.0932 |   0.0979
   25 |    0.7826 |  0.7778 |     0.0913 |   0.0997
   30 |    0.8684 |  0.8647 |     0.0658 |   0.0760
   35 |    0.7965 |  0.7899 |     0.0891 |   0.1069
   40 |    0.7458 |  0.7174 |     0.0972 |   0.1223
   45 |    0.6576 |  0.6401 |     0.1706 |   0.2174
   50 |    0.7095 |  0.6860 |     0.1247 |   0.1631
   55 |    0.8007 |  0.7609 |     0.0865 |   0.1220
   60 |    0.7880 |  0.7488 |     0.0874 |   0.1223
   65 |    0.8031 |  0.7705 |     0.0806 |   0.1124
   70 |    0.8291 |  0.8068 |     0.0728 |   0.1040
   75 |    0.8140 |  0.7778 |     0.0812 |   0.1167
   80 |    0.8285 |  0.7923 |     0.0746 |   0.1094
   85 |    0.8587 |  0.8237 |     0.0633 |   0.0957
   90 |    0.8267 |  0.7874 |     0.0753 |   0.1125
   95 |    0.7899 |  0.7440 |     0.0925 |   0.1368
  100 |    0.8219 |  0.7923 |     0.0783 |   0.1179
  105 |    0.8037 |  0.7609 |     0.0849 |   0.1267
  110 |    0.8243 |  0.7971 |     0.0748 |   0.1122
  115 |    0.8303 |  0.7923 |     0.0738 |   0.1111
  120 |    0.8152 |  0.7874 |     0.0797 |   0.1209
  125 |    0.8128 |  0.7826 |     0.0802 |   0.1206
  130 |    0.8333 |  0.7971 |     0.0720 |   0.1082
  135 |    0.8164 |  0.7923 |     0.0773 |   0.1158
  140 |    0.8031 |  0.7560 |     0.0852 |   0.1278
  145 |    0.8098 |  0.7729 |     0.0826 |   0.1240
  150 |    0.8200 |  0.7899 |     0.0785 |   0.1188
  155 |    0.8050 |  0.7609 |     0.0841 |   0.1261
  160 |    0.8019 |  0.7585 |     0.0846 |   0.1269
  165 |    0.8188 |  0.7850 |     0.0784 |   0.1180
  170 |    0.8001 |  0.7536 |     0.0861 |   0.1285
  175 |    0.7977 |  0.7464 |     0.0879 |   0.1318
  180 |    0.8104 |  0.7778 |     0.0812 |   0.1221
  185 |    0.8110 |  0.7826 |     0.0804 |   0.1209
  190 |    0.8321 |  0.7995 |     0.0731 |   0.1110
  195 |    0.8207 |  0.7850 |     0.0779 |   0.1181
  200 |    0.8019 |  0.7560 |     0.0857 |   0.1288
