Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.5720 |  0.5882 |     0.1485 |   0.1466
    5 |    0.8780 |  0.8824 |     0.0948 |   0.0923
   10 |    0.5647 |  0.5504 |     0.1888 |   0.1792
   15 |    0.7171 |  0.7185 |     0.1301 |   0.1287
   20 |    0.8107 |  0.8067 |     0.0938 |   0.0968
   25 |    0.8749 |  0.8697 |     0.0671 |   0.0775
   30 |    0.9537 |  0.9412 |     0.0428 |   0.0548
   35 |    0.9453 |  0.9412 |     0.0426 |   0.0528
   40 |    0.9611 |  0.9328 |     0.0376 |   0.0519
   45 |    0.9664 |  0.9328 |     0.0330 |   0.0488
   50 |    0.9621 |  0.9118 |     0.0393 |   0.0531
   55 |    0.9453 |  0.9034 |     0.0342 |   0.0570
   60 |    0.9632 |  0.9034 |     0.0307 |   0.0535
   65 |    0.8623 |  0.8109 |     0.0593 |   0.0917
   70 |    0.8696 |  0.8235 |     0.0552 |   0.0868
   75 |    0.8318 |  0.7815 |     0.0720 |   0.1077
   80 |    0.9338 |  0.8782 |     0.0360 |   0.0649
   85 |    0.9232 |  0.8655 |     0.0382 |   0.0706
   90 |    0.8570 |  0.8025 |     0.0607 |   0.1022
   95 |    0.9243 |  0.8739 |     0.0373 |   0.0712
  100 |    0.8917 |  0.8361 |     0.0475 |   0.0836
  105 |    0.8959 |  0.8361 |     0.0470 |   0.0845
  110 |    0.9075 |  0.8445 |     0.0429 |   0.0782
  115 |    0.9211 |  0.8571 |     0.0398 |   0.0761
  120 |    0.9253 |  0.8571 |     0.0383 |   0.0736
  125 |    0.9117 |  0.8445 |     0.0426 |   0.0794
  130 |    0.9127 |  0.8445 |     0.0421 |   0.0778
  135 |    0.8864 |  0.8151 |     0.0501 |   0.0899
  140 |    0.9127 |  0.8445 |     0.0431 |   0.0800
  145 |    0.9148 |  0.8529 |     0.0412 |   0.0770
  150 |    0.9106 |  0.8445 |     0.0432 |   0.0803
  155 |    0.9001 |  0.8361 |     0.0461 |   0.0841
  160 |    0.9148 |  0.8571 |     0.0404 |   0.0766
  165 |    0.9285 |  0.8697 |     0.0351 |   0.0688
  170 |    0.9159 |  0.8613 |     0.0399 |   0.0759
  175 |    0.9117 |  0.8529 |     0.0411 |   0.0772
  180 |    0.9148 |  0.8445 |     0.0408 |   0.0775
  185 |    0.9222 |  0.8571 |     0.0383 |   0.0740
  190 |    0.9001 |  0.8319 |     0.0469 |   0.0856
  195 |    0.9306 |  0.8739 |     0.0345 |   0.0682
  200 |    0.9022 |  0.8361 |     0.0463 |   0.0850
