Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.5363 |  0.6282 |     1.4427 |   1.6717
    5 |    0.5648 |  0.6648 |     1.6068 |   2.2484
   10 |    0.6746 |  0.8315 |     0.9627 |   1.0857
   15 |    0.5827 |  0.8370 |     1.9773 |   0.9254
   20 |    0.6828 |  0.8590 |     0.8480 |   0.8590
   25 |    0.6941 |  0.8645 |     0.8067 |   0.8430
   30 |    0.6762 |  0.8315 |     0.8328 |   0.9334
   35 |    0.6755 |  0.8462 |     0.8763 |   0.8505
   40 |    0.6918 |  0.8370 |     0.8571 |   1.0902
   45 |    0.7228 |  0.8498 |     0.7547 |   0.8424
   50 |    0.6720 |  0.8425 |     0.9109 |   0.8560
   55 |    0.7129 |  0.8590 |     0.7018 |   0.8332
   60 |    0.7157 |  0.8535 |     0.7178 |   0.8162
   65 |    0.7205 |  0.8590 |     0.6945 |   0.8534
   70 |    0.7345 |  0.8590 |     0.7292 |   0.8011
   75 |    0.7384 |  0.8571 |     0.6802 |   0.8196
   80 |    0.7444 |  0.8590 |     0.6784 |   0.8163
   85 |    0.7439 |  0.8626 |     0.6808 |   0.8151
   90 |    0.7425 |  0.8590 |     0.6658 |   0.8223
   95 |    0.7515 |  0.8608 |     0.6633 |   0.8193
  100 |    0.7565 |  0.8590 |     0.6783 |   0.8175
  105 |    0.7510 |  0.8626 |     0.6705 |   0.8134
  110 |    0.7623 |  0.8626 |     0.6594 |   0.8148
  115 |    0.7579 |  0.8590 |     0.6631 |   0.8206
  120 |    0.7515 |  0.8590 |     0.6614 |   0.8264
  125 |    0.7487 |  0.8590 |     0.6661 |   0.8145
  130 |    0.7531 |  0.8608 |     0.6576 |   0.8188
  135 |    0.7492 |  0.8626 |     0.6782 |   0.8104
  140 |    0.7513 |  0.8626 |     0.6711 |   0.8217
  145 |    0.7515 |  0.8626 |     0.6837 |   0.8117
  150 |    0.7480 |  0.8645 |     0.6752 |   0.8121
