Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.5495 |  0.6678 |     1.7560 |   2.3617
    5 |    0.6266 |  0.7442 |     1.1972 |   1.4107
   10 |    0.5896 |  0.7508 |     1.6194 |   1.3926
   15 |    0.6464 |  0.7641 |     1.0787 |   1.2785
   20 |    0.6705 |  0.7973 |     0.9746 |   1.2150
   25 |    0.6602 |  0.7973 |     1.0760 |   1.1172
   30 |    0.6860 |  0.8272 |     0.8673 |   1.0244
   35 |    0.6611 |  0.8106 |     0.9724 |   1.0647
   40 |    0.6964 |  0.8272 |     0.8504 |   0.9711
   45 |    0.6714 |  0.8106 |     0.8951 |   0.9937
   50 |    0.7140 |  0.8206 |     0.7783 |   0.9797
   55 |    0.6779 |  0.8140 |     0.8673 |   0.9434
   60 |    0.7235 |  0.8405 |     0.7293 |   0.8934
   65 |    0.7196 |  0.8140 |     0.7668 |   0.9350
   70 |    0.7059 |  0.8339 |     0.7301 |   0.9016
   75 |    0.7102 |  0.8372 |     0.6869 |   0.9147
   80 |    0.7145 |  0.8372 |     0.6653 |   0.8982
   85 |    0.7192 |  0.8372 |     0.6533 |   0.8923
   90 |    0.7360 |  0.8272 |     0.6923 |   0.8955
   95 |    0.7235 |  0.8372 |     0.6574 |   0.8473
  100 |    0.7347 |  0.8239 |     0.6706 |   0.8628
  105 |    0.7369 |  0.8173 |     0.6713 |   0.8926
  110 |    0.7519 |  0.8339 |     0.6316 |   0.8851
  115 |    0.7416 |  0.8339 |     0.6280 |   0.8561
  120 |    0.7498 |  0.8372 |     0.6536 |   0.8687
  125 |    0.7494 |  0.8306 |     0.6372 |   0.8701
  130 |    0.7511 |  0.8306 |     0.6189 |   0.8659
  135 |    0.7498 |  0.8272 |     0.6386 |   0.8851
  140 |    0.7519 |  0.8272 |     0.6270 |   0.8791
  145 |    0.7455 |  0.8306 |     0.6276 |   0.8796
  150 |    0.7416 |  0.8339 |     0.6165 |   0.8668
